Date of Product Buy,Discount,Product Buy Price,Product Original Price,Product Release Date,Product Category,Season Bought,User ID
1610710567,19.1,91.5,113.0,1639397938,Printers,0,525
1640458171,25.1,26.0,34.8,1624103729,Phones,2,714
1624835269,61.7,10.5,27.5,1610390636,Printers,3,43
1623191407,26.4,86.8,117.9,1622043031,Audio,1,849
1616164122,43.0,51.9,91.0,1634198087,Screens,2,855
1634444219,65.7,37.3,108.6,1613243441,Audio,2,414
1637698121,31.4,81.7,119.2,1610296883,Printers,0,565
1631760889,28.4,62.7,87.6,1612359290,Furniture,3,74
1630510316,27.0,75.3,103.2,1624362706,Furniture,1,886
1619999647,1.1,89.8,90.9,1631458287,Printers,3,101
1617265844,57.2,33.5,78.3,1630575509,Televisions,0,731
1614623394,60.4,45.9,115.7,1625967267,Phones,1,139
1640706259,70.6,27.5,93.5,1612235794,Screens,0,97
1616942124,41.0,43.5,73.6,1626833578,Furniture,0,672
1630232356,72.7,21.6,79.2,1640701157,Printers,2,811
1624943241,44.0,14.2,25.4,1629913678,Furniture,4,92
1611978615,33.8,32.5,49.1,1616154540,Informatics,4,767
1615842661,22.6,14.5,18.8,1626635235,Home Care,4,658
1619518352,13.4,65.8,76.0,1613168488,Phones,3,375
1632257846,71.2,27.7,96.2,1640609226,Phones,2,448
1618374296,16.5,73.1,87.6,1631542163,Informatics,2,855
1629157469,35.0,47.0,72.3,1640409978,Beauty,1,343
1636698359,67.1,14.5,44.0,1631947593,Home Care,4,60
1616457060,51.9,38.7,80.4,1629386110,Phones,2,208
1631256877,62.4,24.3,64.6,1630468670,Audio,4,233
1634350013,19.4,56.5,70.1,1627591028,Printers,3,478
1628422663,39.9,37.0,61.5,1640871144,Consumer Electronics,0,338
1633938422,25.2,78.2,104.6,1625160447,Furniture,1,428
1631701224,66.8,19.5,58.9,1627321958,Informatics,0,868
1638994100,60.8,6.4,16.3,1636406633,Screens,1,723
1638384831,71.4,29.6,103.4,1630547070,Screens,2,611
1612777555,76.9,4.7,20.5,1615141500,Phones,3,882
1616133076,2.1,67.7,69.1,1631534327,Televisions,4,540
1629011809,10.2,61.3,68.2,1613404262,Printers,4,369
1614525507,53.5,14.0,30.2,1630049155,Informatics,3,882
1635974320,32.2,29.1,42.9,1627152424,Printers,4,493
1637805697,53.1,11.5,24.4,1622174655,Consumer Electronics,4,441
1634762016,66.2,31.2,92.5,1619889697,Screens,1,431
1624370949,69.9,14.3,47.4,1620458978,Consumer Electronics,0,478
1625957861,65.0,40.1,114.5,1615370618,Printers,3,537
1621923209,20.9,70.9,89.6,1633813830,Beauty,3,27
1629643115,72.1,15.6,55.9,1637395400,Televisions,0,781
1622507744,77.1,10.6,46.2,1633788274,Home Care,3,294
1615125417,40.9,17.7,30.0,1628287953,Screens,4,778
1617380200,75.4,15.2,61.7,1624144981,Beauty,0,667
1628177280,72.6,6.2,22.6,1616051203,Phones,0,379
1636698930,37.2,13.8,22.0,1623842463,Beauty,2,572
1627889667,71.2,16.2,56.2,1615802551,Televisions,1,812
1637646374,24.6,38.8,51.4,1631089232,Printers,2,418
1630494932,64.2,37.7,105.4,1624319425,Screens,2,326
1638771433,18.5,45.7,56.1,1637260263,Phones,0,531
1631106691,1.9,61.6,62.8,1613246540,Screens,0,785
1635449706,33.5,17.6,26.5,1629155307,Home Care,0,172
1633713265,35.2,36.5,56.4,1629276601,Televisions,2,743
1627733484,72.5,23.6,85.8,1618792822,Printers,4,330
1626650580,24.1,35.2,46.3,1623797210,Home Care,1,497
1627026201,61.3,28.4,73.5,1619760879,Consumer Electronics,2,381
1629787345,25.2,48.5,64.9,1612557360,Phones,0,642
1614000279,20.2,92.8,116.2,1640131496,Beauty,0,480
1615407792,36.8,64.8,102.4,1612676045,Televisions,1,487
1622952146,73.8,20.8,79.4,1626957757,Informatics,2,847
1618059018,37.8,74.6,119.8,1633104227,Televisions,1,215
1611536934,57.2,32.6,76.3,1616432667,Printers,0,366
1621966311,42.3,45.6,79.0,1627269712,Informatics,1,441
1632001176,4.2,27.1,28.3,1632482638,Phones,0,759
1629163622,6.3,15.0,16.0,1628701298,Screens,4,525
1627068450,21.6,72.0,91.9,1628935432,Phones,0,615
1612609075,16.7,19.2,23.1,1614984343,Printers,0,45
1637394375,32.1,15.3,22.6,1631575970,Furniture,2,506
1615186531,32.9,57.2,85.3,1631559001,Furniture,4,719
1626529880,39.8,54.6,90.7,1618491026,Home Care,4,316
1617137053,35.6,70.7,109.8,1627434801,Beauty,0,341
1615488488,39.8,55.4,92.0,1622840920,Beauty,3,181
1619089177,37.8,28.2,45.4,1610441795,Furniture,4,442
1611692048,68.6,25.9,82.5,1640960595,Consumer Electronics,2,526
1635494667,14.9,48.8,57.3,1637522636,Furniture,3,505
1616698246,52.5,34.4,72.4,1615313767,Screens,1,107
1632104351,72.7,19.1,69.9,1639128703,Phones,0,695
1631970381,11.3,37.7,42.5,1618516217,Furniture,2,473
1628029743,46.3,55.8,104.1,1616068320,Consumer Electronics,0,411
1620248449,16.5,35.7,42.8,1635226821,Audio,2,671
1621012564,32.3,74.6,110.1,1621462151,Furniture,0,465
1623170895,21.8,36.3,46.4,1617835832,Furniture,4,191
1640287808,16.2,50.4,60.1,1614666352,Printers,1,859
1615829172,1.5,44.0,44.7,1617107654,Beauty,0,378
1632409320,37.7,29.2,46.8,1627002812,Consumer Electronics,4,814
1637545921,51.3,23.0,47.2,1638359601,Televisions,1,765
1615486916,30.2,37.4,53.6,1613716470,Home Care,3,204
1626461134,15.1,35.3,41.6,1636655743,Home Care,4,295
1619612596,3.4,44.1,45.7,1614527743,Furniture,1,286
1617327762,41.1,9.0,15.3,1618825063,Phones,1,762
1637567139,66.1,27.1,79.8,1627253823,Consumer Electronics,0,606
1633599815,27.7,54.6,75.5,1617708627,Printers,2,450
1625653701,11.4,34.8,39.3,1631176748,Furniture,2,688
1640965014,25.9,72.9,98.4,1619102229,Consumer Electronics,0,478
1631285941,27.8,65.5,90.8,1625040507,Furniture,0,792
1631976009,78.4,23.8,110.3,1624823754,Televisions,0,167
1612275516,28.6,57.1,79.9,1627667256,Furniture,3,758
1633719966,3.9,103.8,108.1,1619855273,Phones,3,366
1615202675,24.9,54.6,72.7,1623336625,Informatics,2,143
1626416744,68.3,8.6,27.1,1613467471,Printers,4,638
1623481262,23.7,69.0,90.4,1616808441,Phones,0,157
1615751886,29.9,80.6,115.0,1612812606,Printers,1,290
1630353931,1.2,55.0,55.7,1635436759,Printers,3,735
1639327420,38.1,27.9,45.1,1626024586,Furniture,2,576
1622185824,58.6,9.4,22.7,1639186055,Audio,1,860
1624214564,65.7,19.1,55.8,1612083390,Televisions,1,202
1631237924,23.9,66.6,87.5,1632240114,Informatics,4,786
1617387124,64.6,5.8,16.5,1636042695,Furniture,2,852
1623453281,32.7,33.0,49.0,1610571129,Screens,0,425
1618731048,61.1,30.8,79.3,1611777510,Furniture,4,528
1617672408,5.9,87.5,93.1,1618253419,Audio,2,345
1639099582,39.1,20.6,33.8,1620435397,Phones,0,297
1631621469,48.6,58.3,113.3,1623335590,Phones,0,341
1632961963,66.2,37.3,110.2,1619700477,Screens,2,811
1615865184,6.8,107.9,115.7,1613220644,Screens,3,896
1618836023,27.4,75.4,103.8,1622912037,Informatics,1,57
1632687534,15.2,55.1,64.9,1628249575,Printers,4,75
1633218093,25.4,75.9,101.7,1621015665,Printers,3,858
