Gender,Age,Average Session Time,Most Active Seasons,User ID
female,22,1821,"['Spring', 'Holidays', 'Fall']",0
male,27,181,"['Fall', 'Spring', 'Summer']",1
male,28,3111,"['Summer', 'Holidays', 'Winter']",2
female,22,736,"['Fall', 'Spring', 'Holidays']",3
female,63,2003,"['Summer', 'Holidays', 'Spring']",4
male,51,2761,"['Spring', 'Summer', 'Holidays']",5
female,78,1469,"['Winter', 'Summer', 'Spring']",6
female,60,1355,"['Holidays', 'Summer', 'Fall']",7
female,77,959,"['Holidays', 'Fall', 'Spring']",8
female,31,2691,"['Winter', 'Fall', 'Spring']",9
female,19,184,"['Winter', 'Holidays', 'Summer']",10
male,71,2255,"['Summer', 'Winter', 'Holidays']",11
male,33,1228,"['Winter', 'Holidays', 'Spring']",12
female,59,3229,"['Spring', 'Winter', 'Fall']",13
male,62,2693,"['Holidays', 'Fall', 'Winter']",14
male,40,554,"['Winter', 'Spring', 'Holidays']",15
male,41,2468,"['Winter', 'Fall', 'Spring']",16
male,56,3497,"['Spring', 'Winter', 'Holidays']",17
male,80,1075,"['Spring', 'Winter', 'Fall']",18
male,79,3127,"['Holidays', 'Summer', 'Fall']",19
female,59,95,"['Fall', 'Holidays', 'Spring']",20
female,52,2436,"['Fall', 'Holidays', 'Winter']",21
female,58,1945,"['Summer', 'Winter', 'Holidays']",22
female,55,3160,"['Holidays', 'Spring', 'Fall']",23
male,67,2984,"['Spring', 'Summer', 'Fall']",24
male,63,910,"['Fall', 'Winter', 'Holidays']",25
male,26,2660,"['Fall', 'Spring', 'Winter']",26
female,60,3105,"['Winter', 'Holidays', 'Fall']",27
female,71,2947,"['Winter', 'Summer', 'Holidays']",28
male,66,1448,"['Winter', 'Spring', 'Holidays']",29
female,20,1250,"['Winter', 'Summer', 'Fall']",30
male,66,1768,"['Summer', 'Holidays', 'Winter']",31
male,45,604,"['Summer', 'Holidays', 'Fall']",32
female,40,2308,"['Fall', 'Summer', 'Holidays']",33
male,20,3256,"['Fall', 'Summer', 'Spring']",34
female,51,788,"['Winter', 'Summer', 'Spring']",35
male,49,1630,"['Fall', 'Winter', 'Spring']",36
female,71,3101,"['Winter', 'Fall', 'Holidays']",37
female,73,2677,"['Fall', 'Spring', 'Summer']",38
female,60,1289,"['Spring', 'Fall', 'Holidays']",39
male,67,443,"['Spring', 'Fall', 'Summer']",40
male,38,217,"['Spring', 'Fall', 'Holidays']",41
female,35,1547,"['Winter', 'Holidays', 'Fall']",42
female,67,532,"['Spring', 'Holidays', 'Summer']",43
male,29,1238,"['Holidays', 'Winter', 'Spring']",44
male,60,556,"['Holidays', 'Spring', 'Summer']",45
male,52,311,"['Spring', 'Summer', 'Winter']",46
female,36,617,"['Winter', 'Spring', 'Summer']",47
female,18,2770,"['Winter', 'Fall', 'Holidays']",48
male,37,251,"['Winter', 'Summer', 'Spring']",49
male,55,2247,"['Winter', 'Summer', 'Fall']",50
