Section	Temperature Measurements	Expected Robots	Actual Robots	Goal Fulfilment Times
C	[15.99, 28.94, 22.08, 21.57, 28.03, 16.23, 11.43, 10.46, 15.91, 19.2]	1.0	0.0	0
B	[24.66, 16.95, 12.43, 10.53, 29.72, 20.1, 26.84, 16.47, 27.47, 19.48]	3.0	2.0	246
C	[22.87, 23.08, 19.82, 10.96, 12.68, 27.4, 14.97, 19.96, 20.27, 21.96]	4.0	0.0	0
C	[21.11, 13.92, 15.41, 22.4, 25.94, 15.52, 13.71, 22.63, 10.48, 28.08]	1.0	0.0	0
C	[26.99, 13.85, 22.55, 24.73, 20.15, 20.31, 20.3, 22.99, 14.79, 23.74]	4.0	2.0	95
D	[22.11, 10.69, 20.2, 10.85, 28.35, 14.69, 21.91, 27.53, 24.93, 18.7]	4.0	2.0	102
B	[24.28, 15.9, 26.4, 16.72, 28.23, 17.76, 12.2, 18.16, 15.55, 15.51]	2.0	1.0	203
D	[17.27, 25.68, 17.03, 13.83, 27.02, 23.55, 29.52, 16.04, 23.1, 15.06]	3.0	3.0	100
D	[26.45, 23.45, 17.38, 21.5, 15.38, 26.93, 17.38, 29.4, 19.24, 15.41]	1.0	0.0	0
D	[16.09, 22.93, 13.91, 26.62, 26.02, 28.44, 24.72, 14.3, 11.61, 19.66]	3.0	1.0	88
D	[15.39, 11.49, 15.41, 14.99, 11.49, 20.14, 23.18, 28.64, 22.73, 29.86]	4.0	2.0	130
D	[19.37, 27.21, 22.87, 20.2, 13.05, 15.53, 16.8, 16.01, 19.35, 17.03]	1.0	1.0	229
A	[22.03, 26.87, 12.74, 19.41, 28.71, 26.69, 15.06, 16.9, 29.57, 16.74]	4.0	2.0	107
D	[30.3, 23.09, 28.34, 30.28, 23.41, 29.9, 28.54, 18.59, 24.96, 15.14]	2.0	0.0	0
C	[17.51, 22.35, 19.96, 27.76, 18.74, 21.35, 24.07, 21.82, 10.48, 29.66]	2.0	2.0	206
D	[29.9, 25.79, 27.62, 22.82, 21.66, 23.45, 28.88, 13.62, 11.47, 21.21]	1.0	0.0	0
B	[26.2, 15.9, 29.45, 20.88, 20.36, 13.65, 26.84, 11.43, 27.69, 25.68]	4.0	1.0	63
D	[26.9, 22.31, 30.18, 20.11, 12.5, 17.93, 10.97, 21.11, 22.91, 24.73]	4.0	2.0	233
A	[23.08, 28.84, 10.54, 17.46, 21.49, 12.5, 18.08, 10.46, 28.12, 19.73]	2.0	1.0	290
A	[22.38, 11.14, 21.35, 17.05, 10.4, 24.23, 20.47, 21.76, 11.22, 29.65]	4.0	1.0	162
C	[17.09, 24.72, 16.57, 16.16, 19.71, 20.56, 22.29, 13.76, 15.19, 11.15]	3.0	1.0	237
A	[29.64, 29.3, 22.79, 19.7, 26.61, 20.96, 27.0, 26.53, 25.79, 19.89]	1.0	0.0	0
C	[19.69, 21.77, 27.92, 14.55, 18.62, 10.72, 29.19, 15.32, 28.25, 29.1]	4.0	2.0	211
B	[21.1, 20.4, 18.31, 15.54, 20.46, 29.43, 16.65, 13.03, 15.37, 26.34]	2.0	2.0	186
A	[22.85, 19.02, 26.65, 10.75, 25.24, 29.27, 11.66, 13.04, 12.32, 17.4]	3.0	2.0	142
B	[23.15, 19.05, 21.39, 28.1, 12.65, 28.97, 11.98, 16.83, 14.82, 21.46]	1.0	1.0	138
D	[24.56, 22.29, 16.57, 24.42, 10.71, 23.09, 29.11, 16.83, 23.74, 20.58]	1.0	0.0	0
C	[21.93, 15.25, 12.01, 12.4, 13.9, 23.67, 17.09, 11.2, 26.12, 17.87]	3.0	1.0	221
D	[23.32, 19.96, 28.78, 14.54, 11.76, 18.62, 17.09, 30.18, 29.21, 24.88]	3.0	3.0	172
A	[14.44, 27.68, 22.0, 28.02, 18.03, 19.47, 11.72, 25.38, 13.02, 24.18]	1.0	1.0	159
B	[21.52, 21.17, 27.39, 12.29, 29.53, 17.69, 12.82, 20.27, 18.08, 24.38]	2.0	0.0	0
D	[16.59, 30.12, 15.97, 15.97, 25.77, 12.44, 28.69, 12.28, 15.63, 16.69]	3.0	2.0	144
A	[26.58, 16.32, 14.07, 16.71, 16.34, 14.92, 26.11, 24.23, 27.33, 15.12]	3.0	3.0	151
A	[24.69, 28.14, 16.96, 12.04, 24.96, 20.62, 16.83, 11.47, 24.75, 23.88]	1.0	0.0	0
B	[28.13, 29.44, 29.06, 17.26, 10.42, 18.62, 28.67, 13.35, 28.29, 29.56]	2.0	1.0	246
A	[10.75, 18.73, 28.24, 18.53, 27.03, 20.5, 11.98, 19.34, 28.68, 17.75]	2.0	1.0	238
D	[18.36, 23.04, 12.44, 21.69, 23.8, 21.31, 24.13, 23.79, 13.97, 20.83]	4.0	0.0	0
C	[18.61, 14.69, 17.76, 13.51, 30.1, 25.95, 14.57, 21.71, 19.25, 29.67]	2.0	0.0	0
B	[21.14, 16.27, 22.56, 13.03, 30.22, 10.26, 16.54, 12.04, 11.51, 19.27]	4.0	0.0	0
B	[12.67, 12.53, 13.44, 21.19, 27.6, 28.14, 12.39, 12.17, 11.25, 24.44]	4.0	1.0	279
D	[18.43, 14.23, 21.38, 11.44, 29.15, 26.45, 16.39, 29.89, 25.15, 28.45]	1.0	0.0	0
D	[15.06, 27.21, 18.37, 16.2, 25.61, 11.2, 13.69, 24.85, 11.28, 26.11]	2.0	1.0	139
D	[28.36, 18.81, 20.72, 29.07, 17.59, 27.04, 12.19, 22.69, 29.11, 18.77]	4.0	4.0	231
D	[14.86, 20.33, 10.78, 14.33, 13.08, 17.13, 18.46, 29.05, 19.44, 10.44]	2.0	1.0	135
D	[18.71, 24.11, 14.47, 21.87, 23.57, 24.69, 17.54, 25.89, 17.36, 30.04]	1.0	1.0	218
C	[18.73, 12.0, 18.8, 14.48, 26.3, 22.19, 19.21, 15.12, 13.14, 11.18]	1.0	1.0	202
B	[29.75, 17.86, 25.18, 14.76, 25.06, 13.65, 29.35, 14.94, 15.97, 23.42]	3.0	2.0	190
